"Ano";"Sistema";"Volume_reservatorio";"Chuva"
2003;"Guarapiranga";41,51;69,09
2004;"Guarapiranga";38,89;101,92
2005;"Guarapiranga";73,33;119,99
2006;"Guarapiranga";71,69;123,57
2007;"Guarapiranga";59,17;132,5
2008;"Guarapiranga";61,81;91,33
2009;"Guarapiranga";83,94;140,62
2010;"Guarapiranga";81,12;130,73
2011;"Guarapiranga";71,41;92,1
2012;"Guarapiranga";72,45;121,62
2013;"Guarapiranga";79,29;92,12
2014;"Guarapiranga";61,04;100,87
2015;"Guarapiranga";73,86;133,58
2016;"Guarapiranga";81,17;99,32
2017;"Guarapiranga";72,19;121,72
2018;"Guarapiranga";71,96;63,84
2003;"RioGrande";74,7;81,33
2004;"RioGrande";83,84;143,03
2005;"RioGrande";91,49;143,79
2006;"RioGrande";89,38;148,76
2007;"RioGrande";83,54;123,22
2008;"RioGrande";85,33;108,14
2009;"RioGrande";91,3;140,18
2010;"RioGrande";94,4;154,87
2011;"RioGrande";90,35;133,48
2012;"RioGrande";88,15;157,89
2013;"RioGrande";94,38;141,81
2014;"RioGrande";84,43;105,27
2015;"RioGrande";88,92;128,57
2016;"RioGrande";84,85;101,81
2017;"RioGrande";87,04;126,13
2018;"RioGrande";80,89;83,06
